短信号,商户名称,所属行业,数量
11888,翼支付,移动支付,177
10086,中国移动,通信,175
10001,中国电信,通信,137
95599,中国农业银行,银行,66
95533,建设银行,银行,54
95588,工商银行,银行,51
106980095558,中信银行,银行,49
95566,中国银行,银行,34
1065813919,浙商证券,证券,21
95559,交通银行,银行,20
10620121,天气预报,增值服务,19
95555,招商银行,银行,19
1069159995198, , ,16
1065902551002, , ,16
95580,中国邮政储蓄,银行,15
95528,上海浦发银行,银行,14
95188,淘宝贷款,信贷,14
106980095188,支付宝,移动支付,14
10692630608951001, , ,13
106589996400,通信,通信,12
95561,兴业银行,银行,12
1069095599,中国农业银行,银行,10
106905695528,浦发银行,银行,10
10000,中国电信,通信,9
95511,平安银行,银行,9
95508,广东发展银行,银行,9
953115881106900015, , ,9
10086100, , ,9
953275911044917, , ,8
1069003696998, , ,8
10658678,中国移动,通信,8
106575258192255, , ,8
95568,中国民生银行,银行,7
106929395555,招商银行,银行,7
106912095568,民生银行,银行,7
106905695559,交通银行,银行,7
12329,海住房公积金,社会保障,7
1069393507841, , ,7
953112076,快递送餐,物流,6
1069253500300242, , ,6
95389,重庆农商,银行,6
1069241395555,招商银行,银行,5
95595,光大银行,银行,5
953275911041031, , ,5
106980095533,中国建设银行,银行,5
10006, , ,5
10086013, , ,5
95527, , ,5
10658139,中国移动,通信,5
106559199000364230, , ,5
1069009577166, , ,5
1069066112300482, , ,5
1065808001,咪咕阅读,增值服务,4
12306,中铁集团,建筑业,4
10658368,环球网手机报,增值服务,4
106908327443017, , ,4
106913547250221466, , ,4
1069043372172600, , ,4
10691096608951001, , ,4
106921622183865193, , ,4
10659114101,号码百事通,通信,4
12379,中国气象局,政府机构,4
106914991021833, , ,4
10690092044981, , ,3
1069167842, , ,3
106980095566,中国银行,银行,3
106907380550111, , ,3
1069076295555,招商银行,银行,3
10691354739006900030, , ,3
1065806010011, , ,3
1069071936563002, , ,3
10000111, , ,3
1065750995598, , ,3
10010,中国联通,通信,3
1065756596836, , ,3
1065902595188,支付宝,移动支付,3
106918254472001, , ,3
1065920376001471246, , ,3
106592037603502543, , ,3
10698000585814304, , ,3
10698000585815973, , ,3
1008611,中国移动,通信,3
10659114611888, , ,3
106904851058, , ,3
1065972901, , ,3
10657558626679746, , ,3
1069077555000, , ,3
1069295561, , ,3
10655118, , ,3
10690206983, , ,3
10658999, , ,3
1069124395546, , ,3
118010,中国电信天翼视讯,通信,3
106551257783362, , ,3
10659021009952390599, , ,3
16696963339, , ,3
16692080111, , ,3
1065755190695598, , ,3
106940672078700253, , ,3
1065731704915710, , ,2
短信号,商户名称,所属行业,数量
短信号,商户名称,所属行业,数量
11888,翼支付,移动支付,177
10086,中国移动,通信,175
10001,中国电信,通信,137
95599,中国农业银行,银行,66
95533,建设银行,银行,54
95588,工商银行,银行,51
106980095558,中信银行,银行,49
95566,中国银行,银行,34
1065813919,浙商证券,证券,21
95559,交通银行,银行,20
10620121,天气预报,增值服务,19
95555,招商银行,银行,19
1069159995198, , ,16
1065902551002, , ,16
95580,中国邮政储蓄,银行,15
95528,上海浦发银行,银行,14
95188,淘宝贷款,信贷,14
106980095188,支付宝,移动支付,14
10692630608951001, , ,13
106589996400,通信,通信,12
95561,兴业银行,银行,12
1069095599,中国农业银行,银行,10
106905695528,浦发银行,银行,10
10000,中国电信,通信,9
95511,平安银行,银行,9
95508,广东发展银行,银行,9
953115881106900015, , ,9
10086100, , ,9
953275911044917, , ,8
1069003696998, , ,8
10658678,中国移动,通信,8
106575258192255, , ,8
95568,中国民生银行,银行,7
106929395555,招商银行,银行,7
106912095568,民生银行,银行,7
106905695559,交通银行,银行,7
12329,海住房公积金,社会保障,7
1069393507841, , ,7
953112076,快递送餐,物流,6
1069253500300242, , ,6
95389,重庆农商,银行,6
1069241395555,招商银行,银行,5
95595,光大银行,银行,5
953275911041031, , ,5
106980095533,中国建设银行,银行,5
10006, , ,5
10086013, , ,5
95527, , ,5
10658139,中国移动,通信,5
106559199000364230, , ,5
1069009577166, , ,5
1069066112300482, , ,5
1065808001,咪咕阅读,增值服务,4
12306,中铁集团,建筑业,4
10658368,环球网手机报,增值服务,4
106908327443017, , ,4
106913547250221466, , ,4
1069043372172600, , ,4
10691096608951001, , ,4
106921622183865193, , ,4
10659114101,号码百事通,通信,4
12379,中国气象局,政府机构,4
106914991021833, , ,4
10690092044981, , ,3
1069167842, , ,3
106980095566,中国银行,银行,3
106907380550111, , ,3
1069076295555,招商银行,银行,3
10691354739006900030, , ,3
1065806010011, , ,3
1069071936563002, , ,3
10000111, , ,3
1065750995598, , ,3
10010,中国联通,通信,3
1065756596836, , ,3
1065902595188,支付宝,移动支付,3
106918254472001, , ,3
1065920376001471246, , ,3
106592037603502543, , ,3
10698000585814304, , ,3
10698000585815973, , ,3
1008611,中国移动,通信,3
10659114611888, , ,3
106904851058, , ,3
1065972901, , ,3
10657558626679746, , ,3
1069077555000, , ,3
1069295561, , ,3
10655118, , ,3
10690206983, , ,3
10658999, , ,3
1069124395546, , ,3
118010,中国电信天翼视讯,通信,3
106551257783362, , ,3
10659021009952390599, , ,3
16696963339, , ,3
16692080111, , ,3
1065755190695598, , ,3
106940672078700253, , ,3
1065731704915710, , ,2
